candle_time,symbol,direction,entry_price,sl,tp,exit_price,exit_candle_time,pnl_pct,pnl_usd,status,exit_reason
2025-12-29T03:59:59.999000+00:00,SOLUSDT,LONG,129.34,125.9382142857143,134.78285714285715,125.9382142857143,2025-12-29T11:59:59.999000+00:00,-2.63,-500.0,CLOSED,SL
2026-01-02T11:59:59.999000+00:00,ETHUSDT,LONG,3060.44,2990.7864285714286,3171.885714285714,3171.885714285714,2026-01-05T03:59:59.999000+00:00,3.64,800.0,CLOSED,TP
2026-01-02T19:59:59.999000+00:00,SOLUSDT,LONG,130.64,123.90785714285713,141.41142857142856,141.41142857142856,2026-01-06T15:59:59.999000+00:00,8.25,800.0,CLOSED,TP
2026-01-02T19:59:59.999000+00:00,BTCUSDT,LONG,90824.74,88441.48285714287,94637.95142857142,94637.95142857142,2026-01-05T19:59:59.999000+00:00,4.2,800.0,CLOSED,TP
2026-01-05T03:59:59.999000+00:00,ETHUSDT,LONG,3191.6,3118.026785714286,3309.3171428571427,3118.026785714286,2026-01-08T07:59:59.999000+00:00,-2.31,-500.0,CLOSED,SL
2026-01-06T15:59:59.999000+00:00,SOLUSDT,LONG,142.71,136.68678571428572,152.3471428571429,136.68678571428572,2026-01-06T19:59:59.999000+00:00,-4.22,-500.0,CLOSED,SL
2026-01-13T23:59:59.999000+00:00,BTCUSDT,LONG,94359.21,91873.11,98336.97000000002,91873.11,2026-01-20T07:59:59.999000+00:00,-2.63,-500.0,CLOSED,SL
2026-01-13T23:59:59.999000+00:00,ETHUSDT,LONG,3331.36,3201.427857142857,3539.2514285714287,3201.427857142857,2026-01-13T23:59:59.999000+00:00,-3.9,-500.0,CLOSED,SL
2026-01-13T23:59:59.999000+00:00,SOLUSDT,LONG,147.14,139.5935714285714,159.2142857142857,139.5935714285714,2026-01-19T03:59:59.999000+00:00,-5.13,-500.0,CLOSED,SL
2026-01-13T23:59:59.999000+00:00,ETHUSDT,LONG,3328.83,3198.897857142857,3536.7214285714285,3198.897857142857,2026-01-19T03:59:59.999000+00:00,-3.9,-500.0,CLOSED,SL
2026-01-19T03:59:59.999000+00:00,SOLUSDT,SHORT,133.93,138.5067857142857,126.60714285714288,126.60714285714288,2026-01-20T19:59:59.999000+00:00,5.47,800.0,CLOSED,TP
2026-01-20T07:59:59.999000+00:00,BTCUSDT,SHORT,91053.1,92971.91607142858,87982.99428571429,87982.99428571429,2026-01-20T23:59:59.999000+00:00,3.37,800.0,CLOSED,TP
2026-01-20T11:59:59.999000+00:00,ETHUSDT,SHORT,3088.64,3196.807857142857,2915.5714285714284,2915.5714285714284,2026-01-21T15:59:59.999000+00:00,5.6,800.0,CLOSED,TP
2026-01-20T19:59:59.999000+00:00,SOLUSDT,SHORT,126.96,132.9992857142857,117.29714285714286,117.29714285714286,2026-01-29T19:59:59.999000+00:00,7.61,800.0,CLOSED,TP
2026-01-20T23:59:59.999000+00:00,BTCUSDT,SHORT,88305.24,91030.56321428572,83944.72285714286,91030.56321428572,2026-01-23T19:59:59.999000+00:00,-3.09,-500.0,CLOSED,SL
2026-01-21T19:59:59.999000+00:00,ETHUSDT,SHORT,2897.88,3057.0550000000003,2643.2,2643.2,2026-01-30T19:59:59.999000+00:00,8.79,800.0,CLOSED,TP
2026-01-25T19:59:59.999000+00:00,BTCUSDT,SHORT,86627.3,88358.025,83858.14000000001,88358.025,2026-01-26T11:59:59.999000+00:00,-2.0,-500.0,CLOSED,SL
2026-01-29T15:59:59.999000+00:00,BTCUSDT,SHORT,85162.59,88224.80607142857,80263.04428571428,80263.04428571428,2026-01-31T19:59:59.999000+00:00,5.75,800.0,CLOSED,TP
2026-01-29T19:59:59.999000+00:00,SOLUSDT,SHORT,115.76,121.8707142857143,105.98285714285714,105.98285714285714,2026-01-31T19:59:59.999000+00:00,8.45,800.0,CLOSED,TP
2026-01-31T15:59:59.999000+00:00,ETHUSDT,SHORT,2531.42,2736.1467857142857,2203.857142857143,2203.857142857143,2026-02-02T07:59:59.999000+00:00,12.94,800.0,CLOSED,TP
2026-01-31T19:59:59.999000+00:00,BTCUSDT,SHORT,79210.31,84100.885,71385.39,71385.39,2026-02-05T07:59:59.999000+00:00,9.88,800.0,CLOSED,TP
2026-01-31T19:59:59.999000+00:00,SOLUSDT,SHORT,104.07,114.0575,88.08999999999999,88.08999999999999,2026-02-05T15:59:59.999000+00:00,15.36,800.0,CLOSED,TP
2026-02-03T19:59:59.999000+00:00,ETHUSDT,SHORT,2123.28,2367.360357142857,1732.7514285714287,2367.360357142857,2026-03-16T23:59:59.999000+00:00,-11.5,-500.0,CLOSED,SL
2026-02-05T07:59:59.999000+00:00,BTCUSDT,SHORT,70661.96,75266.55107142858,63294.61428571429,63294.61428571429,2026-02-05T23:59:59.999000+00:00,10.43,800.0,CLOSED,TP
2026-02-05T15:59:59.999000+00:00,SOLUSDT,SHORT,84.98,94.96392857142855,69.0057142857143,69.0057142857143,2026-02-06T03:59:59.999000+00:00,18.8,800.0,CLOSED,TP
2026-02-05T23:59:59.999000+00:00,BTCUSDT,SHORT,63500.0,69424.79464285714,54020.328571428574,69424.79464285714,2026-02-06T19:59:59.999000+00:00,-9.33,-500.0,CLOSED,SL
2026-02-06T03:59:59.999000+00:00,SOLUSDT,SHORT,77.4,89.26964285714286,58.40857142857144,89.26964285714286,2026-02-06T23:59:59.999000+00:00,-15.34,-500.0,CLOSED,SL
2026-02-15T07:59:59.999000+00:00,SOLUSDT,LONG,89.77,85.495,96.61,85.495,2026-02-15T23:59:59.999000+00:00,-4.76,-500.0,CLOSED,SL
2026-02-23T03:59:59.999000+00:00,BTCUSDT,SHORT,64803.74,66651.24714285714,61847.72857142857,66651.24714285714,2026-02-25T15:59:59.999000+00:00,-2.85,-500.0,CLOSED,SL
2026-02-23T03:59:59.999000+00:00,SOLUSDT,SHORT,78.07,81.47535714285713,72.62142857142857,81.47535714285713,2026-02-25T03:59:59.999000+00:00,-4.36,-500.0,CLOSED,SL
2026-02-25T19:59:59.999000+00:00,BTCUSDT,LONG,68729.29,65609.12571428572,73721.55285714284,65609.12571428572,2026-02-27T19:59:59.999000+00:00,-4.54,-500.0,CLOSED,SL
2026-02-25T19:59:59.999000+00:00,SOLUSDT,LONG,88.49,83.53285714285714,96.42142857142856,83.53285714285714,2026-02-27T15:59:59.999000+00:00,-5.6,-500.0,CLOSED,SL
2026-03-04T11:59:59.999000+00:00,BTCUSDT,LONG,71689.36,67513.93142857144,78370.0457142857,67513.93142857144,2026-03-07T07:59:59.999000+00:00,-5.82,-500.0,CLOSED,SL
2026-03-04T15:59:59.999000+00:00,SOLUSDT,LONG,92.31,84.88857142857142,104.18428571428574,84.88857142857142,2026-03-06T15:59:59.999000+00:00,-8.04,-500.0,CLOSED,SL
2026-03-13T03:59:59.999000+00:00,SOLUSDT,LONG,89.92,85.44678571428571,97.07714285714286,97.07714285714286,2026-03-16T23:59:59.999000+00:00,7.96,800.0,CLOSED,TP
2026-03-13T11:59:59.999000+00:00,BTCUSDT,LONG,72533.9,70060.72321428571,76490.98285714285,70060.72321428571,2026-03-19T07:59:59.999000+00:00,-3.41,-500.0,CLOSED,SL
2026-03-16T23:59:59.999000+00:00,ETHUSDT,LONG,2361.11,2253.295714285714,2533.6128571428576,2253.295714285714,2026-03-18T15:59:59.999000+00:00,-4.57,-500.0,CLOSED,SL
2026-03-16T23:59:59.999000+00:00,SOLUSDT,LONG,96.69,92.45785714285714,103.46142857142856,92.45785714285714,2026-03-18T11:59:59.999000+00:00,-4.38,-500.0,CLOSED,SL
2026-03-19T15:59:59.999000+00:00,BTCUSDT,SHORT,69105.0,71846.76785714286,64718.17142857143,71846.76785714286,2026-03-25T11:59:59.999000+00:00,-3.97,-500.0,CLOSED,SL
2026-03-22T23:59:59.999000+00:00,ETHUSDT,SHORT,2043.12,2121.737857142857,1917.3314285714284,2121.737857142857,2026-03-23T11:59:59.999000+00:00,-3.85,-500.0,CLOSED,SL
2026-03-22T23:59:59.999000+00:00,SOLUSDT,SHORT,85.74,88.78285714285714,80.87142857142857,88.78285714285714,2026-03-23T11:59:59.999000+00:00,-3.55,-500.0,CLOSED,SL
2026-04-02T03:59:59.999000+00:00,SOLUSDT,SHORT,78.79,83.62928571428573,71.04714285714286,83.62928571428573,2026-04-07T23:59:59.999000+00:00,-6.14,-500.0,CLOSED,SL
2026-04-06T11:59:59.999000+00:00,BTCUSDT,LONG,69738.41,68158.1867857143,72266.76714285715,68158.1867857143,2026-04-07T11:59:59.999000+00:00,-2.27,-500.0,CLOSED,SL
2026-04-07T23:59:59.999000+00:00,BTCUSDT,LONG,70699.06,67993.59392857143,75027.80571428571,75027.80571428571,2026-04-28T23:59:59.999000+00:00,6.12,800.0,CLOSED,TP
2026-04-07T23:59:59.999000+00:00,ETHUSDT,LONG,2176.04,2074.2525,2338.9,2338.9,2026-05-02T23:59:59.999000+00:00,7.48,800.0,CLOSED,TP
2026-05-04T03:59:59.999000+00:00,BTCUSDT,LONG,80040.95,78626.15178571428,82304.62714285715,78626.15178571428,2026-05-04T11:59:59.999000+00:00,-1.77,-500.0,CLOSED,SL
